ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.113.192.136,Up,B,0,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:68:46:E0:67:00
10.113.192.136,Up,B,1,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:69:46:E0:67:00
10.113.192.136,Up,B,2,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:6A:46:E0:67:00
10.113.192.136,Up,B,3,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:6B:46:E0:67:00
10.113.192.136,Up,B,4,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:6C:46:E0:67:00
10.113.192.136,Up,B,5,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:6D:46:E0:67:00
10.113.192.136,Down,B,6,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:6E:46:E0:67:00
10.113.192.136,Down,B,7,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:6F:46:E0:67:00
10.113.192.136,Up,A,0,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:60:46:E0:67:00
10.113.192.136,Up,A,1,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:61:46:E0:67:00
10.113.192.136,Up,A,2,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:62:46:E0:67:00
10.113.192.136,Up,A,3,Online,YES,50:06:01:60:C6:E0:67:00,50:06:01:63:46:E0:67:00
10.113.192.136,Up,A,4,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:64:46:E0:67:00
10.113.192.136,Up,A,5,Online,NO,50:06:01:60:C6:E0:67:00,50:06:01:65:46:E0:67:00
10.113.192.136,Down,A,6,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:66:46:E0:67:00
10.113.192.136,Down,A,7,DISABLED,NO,50:06:01:60:C6:E0:67:00,50:06:01:67:46:E0:67:00
10.113.192.138,Up,B,0,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:68:46:E0:72:63
10.113.192.138,Up,B,1,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:69:46:E0:72:63
10.113.192.138,Down,B,2,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6A:46:E0:72:63
10.113.192.138,Down,B,3,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6B:46:E0:72:63
10.113.192.138,Up,B,4,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:6C:46:E0:72:63
10.113.192.138,Up,B,5,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:6D:46:E0:72:63
10.113.192.138,Down,B,6,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6E:46:E0:72:63
10.113.192.138,Down,B,7,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:6F:46:E0:72:63
10.113.192.138,Up,A,0,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:60:46:E0:72:63
10.113.192.138,Up,A,1,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:61:46:E0:72:63
10.113.192.138,Down,A,2,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:62:46:E0:72:63
10.113.192.138,Down,A,3,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:63:46:E0:72:63
10.113.192.138,Up,A,4,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:64:46:E0:72:63
10.113.192.138,Up,A,5,Online,YES,50:06:01:60:C6:E0:72:63,50:06:01:65:46:E0:72:63
10.113.192.138,Down,A,6,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:66:46:E0:72:63
10.113.192.138,Down,A,7,DISABLED,NO,50:06:01:60:C6:E0:72:63,50:06:01:67:46:E0:72:63
10.113.192.155,Up,B,0,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:68:46:E0:76:6A
10.113.192.155,Up,B,1,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:69:46:E0:76:6A
10.113.192.155,Up,B,2,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:6A:46:E0:76:6A
10.113.192.155,Up,B,3,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:6B:46:E0:76:6A
10.113.192.155,Up,A,0,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:60:46:E0:76:6A
10.113.192.155,Up,A,1,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:61:46:E0:76:6A
10.113.192.155,Up,A,2,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:62:46:E0:76:6A
10.113.192.155,Up,A,3,Online,YES,50:06:01:60:C6:E0:76:6A,50:06:01:63:46:E0:76:6A
10.113.192.78,Down,B,8,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:68:3B:24:6E:A7
10.113.192.78,Up,B,7,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6F:3B:20:6E:A7
10.113.192.78,Down,B,9,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:69:3B:24:6E:A7
10.113.192.78,Up,B,6,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6E:3B:20:6E:A7
10.113.192.78,Down,B,10,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6A:3B:24:6E:A7
10.113.192.78,Up,B,5,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6D:3B:20:6E:A7
10.113.192.78,Down,B,11,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6B:3B:24:6E:A7
10.113.192.78,Up,B,4,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6C:3B:20:6E:A7
10.113.192.78,Up,B,0,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:68:3B:20:6E:A7
10.113.192.78,Up,B,1,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:69:3B:20:6E:A7
10.113.192.78,Up,B,3,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6B:3B:20:6E:A7
10.113.192.78,Up,B,2,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:6A:3B:20:6E:A7
10.113.192.78,Down,A,8,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:60:3B:24:6E:A7
10.113.192.78,Up,A,7,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:67:3B:20:6E:A7
10.113.192.78,Down,A,9,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:61:3B:24:6E:A7
10.113.192.78,Up,A,6,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:66:3B:20:6E:A7
10.113.192.78,Down,A,10,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:62:3B:24:6E:A7
10.113.192.78,Up,A,5,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:65:3B:20:6E:A7
10.113.192.78,Down,A,11,DISABLED,NO,50:06:01:60:BB:20:6E:A7,50:06:01:63:3B:24:6E:A7
10.113.192.78,Up,A,4,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:64:3B:20:6E:A7
10.113.192.78,Up,A,0,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:60:3B:20:6E:A7
10.113.192.78,Up,A,1,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:61:3B:20:6E:A7
10.113.192.78,Up,A,3,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:63:3B:20:6E:A7
10.113.192.78,Up,A,2,Online,NO,50:06:01:60:BB:20:6E:A7,50:06:01:62:3B:20:6E:A7
10.113.200.21,Up,A,1,Online,YES,50:06:01:60:BC:E0:31:68,50:06:01:61:3C:E0:31:68
10.113.200.21,Up,A,0,Online,YES,50:06:01:60:BC:E0:31:68,50:06:01:60:3C:E0:31:68
10.113.200.21,Up,B,1,Online,YES,50:06:01:60:BC:E0:31:68,50:06:01:69:3C:E0:31:68
10.113.200.21,Up,B,0,Online,YES,50:06:01:60:BC:E0:31:68,50:06:01:68:3C:E0:31:68
10.113.200.21,Down,A,2,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00105003062.a2
10.113.200.21,Down,A,3,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00105003062.a3
10.113.200.21,Down,B,2,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00105003062.b2
10.113.200.21,Down,B,3,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00105003062.b3
10.113.58.118,Up,A,1,Online,NO,50:06:01:60:C4:60:47:85,50:06:01:61:44:60:47:85
10.113.58.118,Up,A,0,Online,NO,50:06:01:60:C4:60:47:85,50:06:01:60:44:60:47:85
10.113.58.118,Up,B,1,Online,NO,50:06:01:60:C4:60:47:85,50:06:01:69:44:60:47:85
10.113.58.118,Up,B,0,Online,NO,50:06:01:60:C4:60:47:85,50:06:01:68:44:60:47:85
10.113.58.145,Up,B,10,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6A:3B:24:5B:8F
10.113.58.145,Up,B,7,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6F:3B:20:5B:8F
10.113.58.145,Up,B,11,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6B:3B:24:5B:8F
10.113.58.145,Up,B,6,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6E:3B:20:5B:8F
10.113.58.145,Up,B,12,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6C:3B:24:5B:8F
10.113.58.145,Up,B,5,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6D:3B:20:5B:8F
10.113.58.145,Up,B,13,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6D:3B:24:5B:8F
10.113.58.145,Up,B,4,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6C:3B:20:5B:8F
10.113.58.145,Up,B,0,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:68:3B:20:5B:8F
10.113.58.145,Up,B,1,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:69:3B:20:5B:8F
10.113.58.145,Up,B,3,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6B:3B:20:5B:8F
10.113.58.145,Up,B,2,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:6A:3B:20:5B:8F
10.113.58.145,Up,A,10,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:62:3B:24:5B:8F
10.113.58.145,Up,A,7,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:67:3B:20:5B:8F
10.113.58.145,Up,A,11,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:63:3B:24:5B:8F
10.113.58.145,Up,A,6,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:66:3B:20:5B:8F
10.113.58.145,Up,A,12,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:64:3B:24:5B:8F
10.113.58.145,Up,A,5,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:65:3B:20:5B:8F
10.113.58.145,Up,A,13,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:65:3B:24:5B:8F
10.113.58.145,Up,A,4,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:64:3B:20:5B:8F
10.113.58.145,Up,A,0,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:60:3B:20:5B:8F
10.113.58.145,Up,A,1,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:61:3B:20:5B:8F
10.113.58.145,Up,A,3,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:63:3B:20:5B:8F
10.113.58.145,Up,A,2,Online,YES,50:06:01:60:BB:20:5B:8F,50:06:01:62:3B:20:5B:8F
10.113.58.145,Down,B,8,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00103801870.b8
10.113.58.145,Down,B,9,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00103801870.b9
10.113.58.145,Down,A,8,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00103801870.a8
10.113.58.145,Down,A,9,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00103801870.a9
10.113.81.5,Up,B,0,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:68:47:20:2D:D9
10.113.81.5,Up,B,1,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:69:47:20:2D:D9
10.113.81.5,Up,B,2,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:6A:47:20:2D:D9
10.113.81.5,Up,B,3,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:6B:47:20:2D:D9
10.113.81.5,Down,B,4,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6C:47:20:2D:D9
10.113.81.5,Down,B,5,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6D:47:20:2D:D9
10.113.81.5,Down,B,6,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6E:47:20:2D:D9
10.113.81.5,Down,B,7,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6F:47:20:2D:D9
10.113.81.5,Down,B,8,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:68:47:24:2D:D9
10.113.81.5,Down,B,9,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:69:47:24:2D:D9
10.113.81.5,Down,B,10,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6A:47:24:2D:D9
10.113.81.5,Down,B,11,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6B:47:24:2D:D9
10.113.81.5,Up,A,0,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:60:47:20:2D:D9
10.113.81.5,Up,A,1,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:61:47:20:2D:D9
10.113.81.5,Up,A,2,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:62:47:20:2D:D9
10.113.81.5,Up,A,3,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:63:47:20:2D:D9
10.113.81.5,Down,A,4,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:64:47:20:2D:D9
10.113.81.5,Down,A,5,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:65:47:20:2D:D9
10.113.81.5,Down,A,6,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:66:47:20:2D:D9
10.113.81.5,Down,A,7,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:67:47:20:2D:D9
10.113.81.5,Down,A,8,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:60:47:24:2D:D9
10.113.81.5,Down,A,9,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:61:47:24:2D:D9
10.113.81.5,Down,A,10,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:62:47:24:2D:D9
10.113.81.5,Down,A,11,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:63:47:24:2D:D9
10.113.89.201,Down,B,7,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:6F:44:60:44:9E
10.113.89.201,Down,B,6,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:6E:44:60:44:9E
10.113.89.201,Up,B,0,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:68:44:60:44:9E
10.113.89.201,Up,B,5,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6D:44:60:44:9E
10.113.89.201,Up,B,1,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:69:44:60:44:9E
10.113.89.201,Up,B,4,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6C:44:60:44:9E
10.113.89.201,Up,B,3,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6B:44:60:44:9E
10.113.89.201,Up,B,2,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6A:44:60:44:9E
10.113.89.201,Down,A,7,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:67:44:60:44:9E
10.113.89.201,Down,A,6,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:66:44:60:44:9E
10.113.89.201,Up,A,0,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:60:44:60:44:9E
10.113.89.201,Up,A,5,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:65:44:60:44:9E
10.113.89.201,Up,A,1,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:61:44:60:44:9E
10.113.89.201,Up,A,4,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:64:44:60:44:9E
10.113.89.201,Up,A,3,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:63:44:60:44:9E
